Signed Max Comparator
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
signed_max_comparator_IN_1_OUT_1_clk_200,32,32,1,200,190,1,0.302,10.909,2779.186,2790.095
signed_max_comparator_IN_1_OUT_1_clk_300,32,32,1,300,290,1,0.302,10.901,3142.025,3152.926
signed_max_comparator_IN_1_OUT_1_clk_400,32,32,1,400,390,1,0.302,10.896,2402.079,2412.975
signed_max_comparator_IN_1_OUT_1_clk_500,32,32,1,500,490,1,0.302,10.896,2016.951,2027.847
signed_max_comparator_IN_1_OUT_1_clk_550,32,32,1,550,540,1,0.302,10.913,1871.163,1882.076
signed_max_comparator_IN_1_OUT_1_clk_600,32,32,1,600,590,1,0.302,10.902,1721.516,1732.419
signed_max_comparator_IN_1_OUT_1_clk_650,32,32,1,650,640,1,0.302,10.891,1634.020,1644.910
signed_max_comparator_IN_1_OUT_1_clk_700,32,32,1,700,690,1,0.302,10.897,1487.443,1498.340
signed_max_comparator_IN_1_OUT_1_clk_750,32,32,1,750,740,1,0.302,10.913,1391.679,1402.592
signed_max_comparator_IN_1_OUT_1_clk_800,32,32,1,800,790,1,0.302,10.913,1307.146,1318.059
signed_max_comparator_IN_1_OUT_2_clk_200,32,32,2,200,190,1,0.302,10.909,2779.186,2790.095
signed_max_comparator_IN_1_OUT_2_clk_300,32,32,2,300,290,1,0.302,10.901,3309.834,3320.736
signed_max_comparator_IN_1_OUT_2_clk_400,32,32,2,400,390,1,0.302,10.896,2535.090,2545.985
signed_max_comparator_IN_1_OUT_2_clk_500,32,32,2,500,490,1,0.302,10.896,2136.667,2147.563
signed_max_comparator_IN_1_OUT_2_clk_550,32,32,2,550,540,1,0.302,10.913,1985.252,1996.165
signed_max_comparator_IN_1_OUT_2_clk_600,32,32,2,600,590,1,0.302,10.902,1826.903,1837.805
signed_max_comparator_IN_1_OUT_2_clk_650,32,32,2,650,640,1,0.302,10.891,1737.352,1748.242
signed_max_comparator_IN_1_OUT_2_clk_700,32,32,2,700,690,1,0.302,10.897,1579.523,1590.420
signed_max_comparator_IN_1_OUT_2_clk_750,32,32,2,750,740,1,0.302,10.913,1478.145,1489.058
signed_max_comparator_IN_1_OUT_2_clk_800,32,32,2,800,790,1,0.302,10.913,1389.012,1399.925
signed_max_comparator_IN_2_OUT_2_clk_200,32,32,2,200,161,4,1.875,45.567,19837.045,19882.612
signed_max_comparator_IN_2_OUT_2_clk_300,32,32,2,300,261,4,1.875,45.550,14417.578,14463.128
signed_max_comparator_IN_2_OUT_2_clk_400,32,32,2,400,361,4,1.875,45.569,11211.483,11257.052
signed_max_comparator_IN_2_OUT_2_clk_500,32,32,2,500,461,4,1.875,45.577,9089.180,9134.757
signed_max_comparator_IN_2_OUT_2_clk_550,32,32,2,550,511,4,1.875,45.543,8460.018,8505.562
signed_max_comparator_IN_2_OUT_2_clk_600,32,32,2,600,561,4,1.875,45.538,7882.643,7928.181
signed_max_comparator_IN_2_OUT_2_clk_650,32,32,2,650,611,4,1.875,45.537,7247.808,7293.345
signed_max_comparator_IN_2_OUT_2_clk_700,32,32,2,700,661,4,1.875,45.551,6743.890,6789.441
signed_max_comparator_IN_2_OUT_2_clk_750,32,32,2,750,711,4,1.875,45.510,6465.624,6511.134
signed_max_comparator_IN_2_OUT_2_clk_800,32,32,2,800,761,4,1.875,45.556,6081.687,6127.243
signed_max_comparator_IN_1_OUT_4_clk_200,32,32,4,200,188,1,0.302,10.909,2779.186,2790.095
signed_max_comparator_IN_1_OUT_4_clk_300,32,32,4,300,288,1,0.302,10.901,3666.217,3677.118
signed_max_comparator_IN_1_OUT_4_clk_400,32,32,4,400,388,1,0.302,10.896,2817.576,2828.472
signed_max_comparator_IN_1_OUT_4_clk_500,32,32,4,500,488,1,0.302,10.896,2390.914,2401.809
signed_max_comparator_IN_1_OUT_4_clk_550,32,32,4,550,538,1,0.302,10.913,2227.547,2238.460
signed_max_comparator_IN_1_OUT_4_clk_600,32,32,4,600,588,1,0.302,10.902,2050.721,2061.624
signed_max_comparator_IN_1_OUT_4_clk_650,32,32,4,650,638,1,0.302,10.891,1956.813,1967.704
signed_max_comparator_IN_1_OUT_4_clk_700,32,32,4,700,688,1,0.302,10.897,1775.086,1785.983
signed_max_comparator_IN_1_OUT_4_clk_750,32,32,4,750,738,1,0.302,10.913,1661.772,1672.685
signed_max_comparator_IN_1_OUT_4_clk_800,32,32,4,800,788,1,0.302,10.913,1562.867,1573.780
signed_max_comparator_IN_2_OUT_4_clk_200,32,32,4,200,158,4,1.875,45.567,19850.173,19895.740
signed_max_comparator_IN_2_OUT_4_clk_300,32,32,4,300,258,4,1.875,45.550,14787.345,14832.894
signed_max_comparator_IN_2_OUT_4_clk_400,32,32,4,400,358,4,1.875,45.569,11509.060,11554.629
signed_max_comparator_IN_2_OUT_4_clk_500,32,32,4,500,458,4,1.875,45.577,9365.962,9411.539
